"Title";"Released";"ContentRating";"IMBDRating";"RottenRating";"Genre";"Description";"NumOfSeasons";"StreamingPlatform"
"Thirteen";2016;18;7.3;70;"Drama,Crime";"Today is the day Ivy Moxham will escape from the cellar that's been her prison for the last 13 years. Today is the day she'll return to her home, to her family, to her life. Today is only the beginning. Thirteen explores how to pick up the threads of a life half-lived and how to survive as a family under the greatest pressure: how to feel again, chance love again. It is a psychological drama about who to trust when you can't even trust yourself. Ivy Moxham is a young girl. Ivy Moxham is a woman. Ivy Moxham is whoever you want her to be.Thirteen featuring Jodie Comer and Natasha Little has one or more episodes streaming with subscription on Prime Video, available for purchase on Google Play, available for purchase on Prime Video, and 1 other. It's a crime and drama show with 5 episodes over 1 season. Thirteen is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.3 (6,843 votes) and was well received by critics.";"1Season";"Prime Video"
"The Frankenstein Chronicles";2015;16;7.3;70;"Crime,Drama";"Inspector John Marlott investigates a series of crimes in 19th Century London, which may have been committed by a scientist intent on re-animating the dead.The Frankenstein Chronicles featuring Sean Bean and Richie Campbell has one or more episodes streaming with subscription on Netflix. It's a crime and drama show with 12 episodes over 2 seasons. The Frankenstein Chronicles is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.3 (9,283 votes) and was well received by critics.";"2Seasons";"Netflix"
"Digimon Adventure";1999;7;7.3;70;"Animation,Action & Adventure";"While at summer camp, seven kids are transported to a strange digital world. In this new world they make friends with creatures that call themselves Digimon who were born to defend their world from various evil forces.Digimon Adventure featuring Miwa Matsumoto and Yuka Tokumitsu has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with STARZ (Via Cable/Satellite Provider), free on Crunchyroll, and 3 others. It's an action & adventure and animation show with 256 episodes over 5 seasons. Digimon Adventure is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.3 (19,955 votes).";"5 Seasons";"Hulu"
"Unforgotten";2015;18;8.2;70;"Crime,Drama";"'Unforgotten' follows modern police team DCI Cassie Stuart and DI Sunny Khan, who gradually unravel long-forgotten secrets which have a dramatic impact on their investigation and the four potential suspects. The slow revelation of the secrets will also affect the personal lives of both Sunny and Cassie.Unforgotten featuring Nicola Walker and Sanjeev Bhaskar has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a crime and documentary show with 18 episodes over 3 seasons. Unforgotten is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.2 (11,221 votes).";"3Seasons";"Prime Video"
"Monster Musume: Everyday Life with Monster Girls";2017;18;6.7;70;"Animation,Anime";"Three years ago, the world learned that harpies, centaurs, catgirls, and all manners of fabulous creatures are not merely fiction; they are flesh and blood - not to mention scale, feather, horn, and fang. Thanks to the 'Cultural Exchange Between Species Act,' these once-mythical creatures have assimilated into society, or at least, they're trying. When a hapless human teenager named Kurusu Kimihito is inducted as a 'volunteer' into the government exchange program, his world is turned upside down. A snake-like lamia named Miia comes to live with him, and it is Kurusu's job to take care of her and make sure she integrates into his everyday life.Monster Musume: Everyday Life with Monster Girls featuring Natsuki Aikawa and Junji Majima has one or more episodes streaming with subscription on Hulu, free on Crunchyroll, and free on Tubi. It's an animation and anime show with 12 episodes over 1 season. Monster Musume: Everyday Life with Monster Girls is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 6.7 (1,472 votes).";"1 Season";"Hulu"
"America's Next Top Model";2003;7;5.5;70;"Reality,Game Show";"Aspiring models compete for a chance to break into the business with a panel of judges critiquing their progress throughout the competition.America's Next Top Model featuring Tyra Banks and Drew Elliott has one or more episodes streaming with subscription on Prime Video, streaming with subscription on Hulu, streaming via tv everywhere with VH1, and 6 others. It's a game show and reality show with 327 episodes over 24 seasons. America's Next Top Model is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 5.5 (17,045 votes).";"24Seasons";"Hulu,Prime Video"
"Saint Seiya";1986;7;8.5;70;"Animation,Anime";"Ages ago, the goddess Athena was served by fighters called Saints who channeled the power of the Cosmos within them. Now a youth named Seiya has trained to become a Saint himself by earning the mystical Cloth of Pegasus. He is joined by other Saints with Cloths of their own to fight for Athena.Saint Seiya featuring Ryou Horikawa and Hideyuki Tanaka has one or more episodes streaming with subscription on Netflix, streaming with subscription on Prime Video, free on Crunchyroll, and 2 others. It's an action & adventure and animation show with 369 episodes over 12 seasons. Saint Seiya is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.5 (8,969 votes).";"12Seasons";"Netflix,Prime Video"
"Shameless";2004;18;8.0;70;"Comedy,Drama";"The story of a young group of siblings pretty much abandoned by their parents, surviving by their wits - and humor - on a rough Manchester council estate. Whilst they won't admit it, they need help and find it in Steve, a young middle class lad who falls for Fiona, the oldest sibling, and increasingly finds himself drawn to this unconventional and unique family. Anarchic family life seen through the eyes of an exceptionally bright fifteen year old, who struggles to come of age in the context of his belligerent father, closeted brother, psychotic sister and internet porn star neighbors.Shameless featuring David Threlfall and Rebecca Atkinson has one or more episodes streaming with subscription on Prime Video, streaming with subscription on Hulu, free on PlutoTV, and 3 others. It's a comedy and crime show with 168 episodes over 11 seasons. Shameless is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.0 (14,500 votes).";"11Seasons";"Hulu,Prime Video"
"Bonding";2019;16;7.2;70;"Animation,Comedy";"A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.Bonding featuring Zoe Levin and Brendan Scannell has one or more episodes streaming with subscription on Netflix. It's an animation and comedy show with 7 episodes over 1 season. Bonding is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.2 (10,205 votes) and was met with mixed reviews by critics.";"1Season";"Netflix"
"FLCL";2000;18;8.2;70;"Animation,Anime";"Naota is a normal Japanese 6th grade boy although a little cynical. When his older brother leaves for America to play baseball, his brother leaves his 17 year old girlfriend Mamimi behind. Mamimi is sending mixed signals and make advances on Naota, and he doesn't know what to do about her. But to make matters worse, Naota's world is totally turned upside down when he is run over by a woman on a Vespa. During their first encounter, she hits him over the head with her guitar, which then causes a horn to grow out of his forehead. She calls herself 'Haruko' and her presence changes Naota's life to even further insanity.FLCL featuring Mayumi Shintani and Karen Miyama has one or more episodes streaming with subscription on Hulu, free on Adult Swim, streaming with subscription on Funimation, and 4 others. It's an action & adventure and animation show with 18 episodes over 3 seasons. FLCL is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (14,841 votes).";"3 Seasons";"Hulu"
"Explained";2018;16;8.1;70;"Documentary,2018";"This documentary series, made in partnership with Vox, explain some of the world's current trends, from politics, to science to pop culture.Explained has one or more episodes streaming with subscription on Netflix. It's a documentary show with 30 episodes over 2 seasons. Explained is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.1 (6,180 votes).";"2Seasons";"Netflix"
"Flesh and Bone";2015;16;8.0;70;"Drama,2015";"Claire, a talented but emotionally troubled dancer, joins a company in New York City, and soon finds herself immersed in the tough and often cutthroat world of professional ballet. The dark and gritty series will unflinchingly explore the dysfunction and glamour of the ballet world.Flesh and Bone featuring Sarah Hay and Irina Dvorovenko has one or more episodes streaming with subscription on Prime Video, streaming on Starz, available for purchase on iTunes, and 4 others. It's a drama show with 8 episodes over 1 season. Flesh and Bone is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.0 (9,711 votes) and was met with mixed reviews by critics.";"1Season";"Prime Video"
"The Eric Andre Show";2012;18;8.6;70;"Comedy,2012";"A comedic talk show from an alternate reality featuring unstable hosts, a variety of celebrities—both real and fake—and unusual studio action.The Eric Andre Show featuring Eric André and Hannibal Buress has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with Adult Swim (Via Cable/Satellite Provider), free on Adult Swim, and 6 others. It's a comedy show with 44 episodes over 4 seasons. The Eric Andre Show is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.6 (12,019 votes).";"4Seasons";"Hulu"
"Private Practice";2007;16;6.6;70;"Drama,Comedy";"Having left behind Seattle Grace Hospital, renowned surgeon Addison Forbes Montgomery moves to Los Angeles for sunnier weather and happier possibilities. She reunites with her friends from medical school, joining them at their chic, co-op, Oceanside Wellness Center in Santa Monica.Private Practice featuring Kate Walsh and Paul Adelstein has one or more episodes streaming with subscription on Netflix, streaming with subscription on Hulu, free on IMDb TV, and 5 others. It's a comedy and drama show with 111 episodes over 6 seasons. Private Practice is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.6 (21,793 votes) and was met with mixed reviews by critics.";"6Seasons";"Hulu,Netflix"
"The Path";2016;18;7.3;70;"Drama,Cult";"The Path explores the unknown and mysterious world of the cult-like Meyerist Movement in upstate New York. At the center of the movement lies Eddie, a conflicted husband; Sarah, his devoted wife; and Cal, an ambitious leader. We follow each as they contend with deep issues involving relationships, faith, and power.The Path featuring Aaron Paul and Michelle Monaghan has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a cult and drama show with 36 episodes over 3 seasons. The Path is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.3 (8,124 votes) and was well received by critics.";"3Seasons";"Hulu"
"Overlord";2015;18;7.8;70;"Animation,Anime";"In the year 2138, virtual reality gaming is booming. Yggdrasil, a popular online game is quietly shut down one day. However, one player named Momonga decides to not log out. Momonga is then transformed into the image of a skeleton as 'the most powerful wizard.' The world continues to change, with non-player characters (NPCs) beginning to feel emotion. Having no parents, friends, or place in society, this ordinary young man Momonga then strives to take over the new world the game has become.Overlord featuring Satoshi Hino and Yumi Hara has one or more episodes streaming with subscription on Hulu, streaming with subscription on Crunchyroll, free on Crunchyroll, and 5 others. It's an action & adventure and animation show with 40 episodes over 3 seasons. Overlord is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.8 (5,073 votes).";"3 Seasons";"Hulu"
"Young & Hungry";2014;16;7.4;70;"Comedy,Drama";"Two worlds collide when Josh, a wealthy young tech entrepreneur, meets Gabi, a feisty young food blogger, looking to be his personal chef. Gabi is desperate for the job and must prove herself, mostly to Josh's aide, who prefers a famous chef for the job. When Josh enlists Gabi to prepare a romantic meal for him and his girlfriend, the dinner goes awry and Gabi finds herself in a very awkward position. With the help of her best friend Sofia and Josh's housekeeper, Gabi turns a difficult situation into an opportunity for employment and maybe even love. Gabi gets some much needed help and advice from Josh’s assistant and his housekeeper.Young & Hungry featuring Emily Osment and Aimee Carrero has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 2 others. It's a comedy and drama show with 71 episodes over 5 seasons. Young & Hungry is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.4 (13,578 votes) and was met with mixed reviews by critics.";"5Seasons";"Netflix"
"My Teen Romantic Comedy SNAFU";2013;16;7.8;70;"Animation,Anime";"This romantic comedy revolves around an antisocial high school student named Hikigaya Hachiman with a distorted view on life and no friends or girlfriend. When he see his classmates talking excitedly about living their adolescent lives, he mutters, They're a bunch of liars. When he is asked about his future dreams, he responds, Not working. A teacher gets Hachiman to join the volunteer service club, which happens to have the school's prettiest girl, Yukinoshita Yukino.My Teen Romantic Comedy SNAFU featuring Takuya Eguchi and Saori Hayami has one or more episodes streaming with subscription on Hulu, free on Crunchyroll, and available for purchase on iTunes. It's an animation and anime show with 29 episodes over 3 seasons. My Teen Romantic Comedy SNAFU is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.8 (2,968 votes).";"3Seasons";"Hulu"
"All American";2018;16;7.7;69;"Drama,Sport";"When a rising high school football player from South Central L.A. is recruited to play for Beverly Hills High, the wins, losses and struggles of two families from vastly different worlds - Compton and Beverly Hills - begin to collide. Inspired by the life of pro football player Spencer Paysinger.All American featuring Daniel Ezra and Taye Diggs has one or more episodes streaming with subscription on Netflix, free on The CW, available for purchase on iTunes, and 4 others. It's a drama and sport show with 36 episodes over 2 seasons. All American is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.7 (5,241 votes) and was very well received by critics.";"2 Seasons";"Netflix"
"Collateral";2018;7;6.7;69;"Crime,Drama";"When a pizza delivery driver is shot dead in south London, a tenacious detective goes after the people traffickers behind his murder and unravels a conspiracy that goes to the top.Collateral featuring Carey Mulligan and Billie Piper has one or more episodes streaming with subscription on Netflix, available for purchase on Google Play, and available for purchase on YouTube. It's a crime and drama show with 4 episodes over 1 season. Collateral is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 6.7 (12,454 votes) and was well received by critics.";"1Season";"Netflix"
"Diabolik Lovers";2013;16;5.3;69;"Animation,Anime";"Based on a visual novel of the same name by Rejet and Otomate, for the female market. Komori Yui is a positive-thinking girl who nevertheless is troubled by seeing spirits and experiencing poltergeist phenomena. In her second year in high school, she transfers to a new school — a night school for entertainers and celebrities — due to her father's work. There are rumours that vampires exist among the student body, and Yui ends up living with the six sadistic Sakamaki vampire brothers.Diabolik Lovers featuring Suegara Rie and Ushida Hiroko has one or more episodes streaming with subscription on Hulu, free on Crunchyroll, free on Tubi, and 1 other. It's an animation and anime show with 24 episodes over 2 seasons. Diabolik Lovers is no longer running and has no plans to air new episodes or seasons. It has a less than average IMDb audience rating of 5.3 (968 votes).";"2Seasons";"Hulu"
"Murdoch Mysteries";2008;7;8.1;69;"Drama,Mystery";"A Victorian-era Toronto detective uses then-cutting edge forensic techniques to solve crimes, with the assistance of a female coroner who is also struggling for recognition in the face of tradition, based on the books by Maureen Jennings.Murdoch Mysteries featuring Yannick Bisson and Helene Joy has one or more episodes streaming with subscription on Hulu, streaming on AcornTV, streaming with subscription on Hoopla, and 3 others. It's a crime and drama show with 210 episodes over 15 seasons. Murdoch Mysteries is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.1 (9,933 votes).";"15Seasons";"Hulu"
"She";2020;18;6.5;69;"Crime,Drama";"An undercover assignment to expose a drug ring becomes a timid Mumbai constable's road to empowerment as she realizes her dormant sexuality's potential.She featuring Aaditi Pohankar and Vijay Varma has one or more episodes streaming with subscription on Netflix. It's a crime and drama show with 7 episodes over 1 season. She is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.5 (2,369 votes).";"1Season";"Netflix"
"When They Cry";2006;18;8.0;69;"Animation,Anime";"After moving into the quiet town of Hinamizawa, Maebara Keiichi spends his days blissfully in school often playing games with his local friends. However, appearances can be deceiving. One fateful day, Keiichi stumbles upon news of a murder that had occurred in Hinamizawa. From this point on, horrific events unfold in front of Keiichi, as he soon learns his close friends may not be all that they seem. Based on the amateur mystery game by 07th Expansion, the story is told in a series of different scenarios.When They Cry featuring Yui Horie and Nakahara Mai has one or more episodes streaming with subscription on Hulu. It's an animation and anime show with 55 episodes over 3 seasons. When They Cry is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.0 (4,479 votes).";"3Seasons";"Hulu"
"Legit";2013;18;8.2;69;"Comedy,Stand-up & Talk";"Jim Jefferies, an edgy, foul-mouthed stand-up comedian from Australia, in his mid-30s and living in LA, is endeavoring to make his life and career more “legit,” only to find it a difficult, uncomfortable uphill struggle every step of the way. Jim is encouraged in his quest by Steve, his neurotic best friend and roommate, a cyber-law library salesman who struggles to stay on his feet in the wake of a divorce, and Steve’s brother Billy, who suffers from advanced staged Muscular Dystrophy and is confined to a wheelchair.Legit featuring Jim Jefferies and Dan Bakkedahl has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a Comedy and Stand up & Talk show with 26 episodes over 2 seasons. Legit is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (7,868 votes) and was very well received by critics.";"2Seasons";"Hulu"
"Gordon Ramsay: Uncharted";2019;16;7.8;69;"Action & Adventure,Documentary";"Follow Gordon Ramsay as he meets with indigenous people around the globe to learn about the cultures, dishes and flavors unique to each location. Each episode concludes with Ramsay challenging himself with a local food legend by his side - putting his newfound skills to the test as they cook a feast together for the natives.Gordon Ramsay: Uncharted featuring Gordon Ramsay has one or more episodes streaming with subscription on Disney+, and free on National Geographic. It's an action & adventure and documentary show with 19 episodes over 2 seasons. Gordon Ramsay: Uncharted is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.8 (563 votes) and was well received by critics.";"2Seasons";"Disney+"
"Battle Creek";2015;16;7.3;69;"Crime,Drama";"In this mismatched buddy cop dramedy, an amazingly handsome, happy-go-lucky FBI agent is paired with a local, hard scrabble Michigan homicide detective. As they solve crimes together, their polar opposite methods only slightly outweigh their disdain for each other.Battle Creek featuring Josh Duhamel and Dean Winters has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's a comedy and crime show with 13 episodes over 1 season. Battle Creek is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.3 (8,088 votes) and was very well received by critics.";"1Season";"Netflix"
"Trapped";2015;7;8.1;69;"Crime,Drama";"Icelandic crime drama featuring Chief of Police Andri.Trapped featuring Ólafur Darri Ólafsson and Ilmur Kristjánsdóttir has one or more episodes streaming with subscription on Prime Video, and available for purchase on Prime Video. It's a crime and drama show with 20 episodes over 2 seasons. Trapped is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.1 (14,537 votes).";"2Seasons";"Prime Video"
"I Think You Should Leave with Tim Robinson";2019;18;7.7;69;"Comedy,2019";"There is no such thing as an ordinary interaction in this offbeat sketch comedy series that features a deep roster of guest stars.I Think You Should Leave with Tim Robinson featuring Tim Robinson has one or more episodes streaming with subscription on Netflix. It's a comedy show with 6 episodes over 1 season. I Think You Should Leave with Tim Robinson is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.7 (5,057 votes) and was very well received by critics.";"1Season";"Netflix"
"Friday Night Dinner";2011;18;8.1;69;"Comedy,2011";"Two siblings share their Friday night dinners at their parents home and, somehow, something always goes wrong.Friday Night Dinner featuring Simon Bird and Tom Rosenthal has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a comedy show with 37 episodes over 6 seasons. Friday Night Dinner is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.1 (13,076 votes).";"6Seasons";"Hulu"
"Black Summer";2019;18;6.4;69;"Action & Adventure,Comedy";"In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones.Black Summer featuring Jaime King and Christine Lee has one or more episodes streaming with subscription on Netflix. It's an action & adventure and comedy show with 8 episodes over 1 season. Black Summer is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.4 (17,745 votes) and was well received by critics.";"1Season";"Netflix"
"Kim's Convenience";2016;18;8.1;69;"Comedy,2016";"The funny, heartfelt story of The Kims, a Korean-Canadian family, running a convenience store in downtown Toronto. Mr. and Mrs. Kim ('Appa' and 'Umma') immigrated to Toronto in the 80's to set up shop near Regent Park and had two kids, Jung and Janet who are now young adults. However, when Jung was 16, he and Appa had a major falling out involving a physical fight, stolen money and Jung leaving home. Father and son have been estranged since.Kim's Convenience featuring Paul Sun-Hyung Lee and Jean Yoon has one or more episodes streaming with subscription on Netflix, and available for purchase on Prime Video. It's a comedy show with 52 episodes over 4 seasons. Kim's Convenience is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.1 (7,064 votes).";"4 Seasons";"Netflix"
"American Gothic";1995;7;8.1;69;"Drama,Science-Fiction";"American Gothic is an American horror series created by Shaun Cassidy and executive produced by Sam Raimi. The show first aired on CBS on September 22, 1995, and was canceled after a single season on July 11, 1996.American Gothic featuring Gary Cole and Lucas Black has one or more episodes streaming with subscription on Hulu, free on NBC, available for purchase on iTunes, and 4 others. It's a drama and fantasy show with 22 episodes over 1 season. American Gothic is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (4,063 votes) and was well received by critics.";"1Season";"Hulu"
"Aquarius";2015;16;7.1;69;"Drama,Cult";"In the late 1960s, a Los Angeles police sergeant with a complicated personal life starts tracking a small-time criminal and budding cult leader seeking out vulnerable women to join his “cause.” The name of that man is Charles Manson.Aquarius featuring David Duchovny and Grey Damon has one or more episodes streaming with subscription on Netflix, and available for purchase on iTunes. It's a biography and crime show with 27 episodes over 2 seasons. Aquarius is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.1 (10,877 votes) and was well received by critics.";"2 Seasons";"Netflix"
"Star vs. the Forces of Evil";2015;7;8.0;69;"Action & Adventure,Fantasy";"Intergalactic warrior Star Butterfly arrives on Earth to live with the Diaz family. She continues to battle villains throughout the universe and high school, mainly to protect her extremely powerful wand, an object that still confuses her.Star vs. the Forces of Evil featuring Eden Sher and Adam McArthur has one or more episodes streaming with subscription on Hulu, streaming with subscription on Disney+, streaming via tv everywhere with Disney XD (Via Cable/Satellite Provider), and 6 others. It's an action & adventure and animation show with 144 episodes over 5 seasons. Star vs. the Forces of Evil is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.0 (10,132 votes).";"5Seasons";"Hulu,Disney+"
"Everything's Gonna Be Okay";2020;16;7.2;69;"Comedy,2020";"Nicholas, a neurotic 25-year-old, hasn’t been particularly present in his siblings’ lives, but when their single dad reveals that he is terminally ill, the girls have to cope with not only a devastating loss but also the realization that Nicholas is the one who will have to rise to the occasion, move in and hold it all together.Everything's Gonna Be Okay featuring Kayla Cromer and Maeve Press has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with Freeform, and streaming with subscription on fuboTV. It's a comedy show with 10 episodes over 1 season. Everything's Gonna Be Okay is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.2 (1,247 votes) and was very well received by critics.";"1Season";"Hulu"
"Dawson's Creek";1998;7;6.6;69;"Drama,Romance";"Dawson's Creek is an American teen drama that portrays the fictional lives of a close-knit group of teenagers through high school and college.Dawson's Creek featuring James Van Der Beek and Katie Holmes has one or more episodes streaming with subscription on Prime Video, streaming with subscription on Hulu, streaming via tv everywhere with Freeform, and 6 others. It's a drama and romance show with 128 episodes over 6 seasons. Dawson's Creek is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.6 (33,743 votes).";"6 Seasons";"Hulu,Prime Video"
"30 for 30";2009;7;8.8;69;"Documentary,Sport";"30 for 30 is the umbrella title for a series of documentary films airing on ESPN and its sister networks and online properties. The series, which highlights people and events in the sports world that have generally received small amounts of attention, has featured two 'volumes' of 30 episodes each, a 13-episode series under the ESPN Films Presents title in 2011-2012, and a series of 30 for 30 Shorts shown through the ESPN.com website.30 for 30 has one or more episodes streaming with subscription on Netflix, streaming with subscription on fuboTV, available for purchase on Google Play, and 3 others. It's a biography and documentary show with 105 episodes over 5 seasons. 30 for 30 is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.8 (4,180 votes).";"5 Seasons";"Netflix"
"Life in Pieces";2015;16;8.0;69;"Comedy,2015";"Comedy about one big happy family and their sometimes awkward, often hilarious and ultimately beautiful milestone moments as told by its various members. Of the three siblings, middle child Matt may have just found his true love, his co-worker, Colleen; his coddled youngest brother, Greg, and his wife, Jen, are overwhelmed by the birth of their first child; and the eldest, Heather, and her husband, Tim, are dreading their impending empty nest so much, they're considering having another baby. Their parents are Joan the family's adoring matriarch who would do anything for her kids - as long as she agrees with it - and John, the gregarious patriarch who's searching for ways to soften the blow of turning 70. As the family's lives unfold in four short stories each week, they try to savor these little pieces of time that flash by but stay with you forever, because these moments add up to what life's all about.Life in Pieces featuring Thomas Sadoski and Dianne Wiest has one or more episodes streaming with subscription on Prime Video, streaming with subscription on Hulu, streaming on CBS All Access, and 7 others. It's a comedy show with 79 episodes over 4 seasons. Life in Pieces is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.0 (12,163 votes).";"4Seasons";"Hulu,Prime Video"
"Tin Star";2017;18;7.3;69;"Crime,Drama";"The story of Jim Worth, an expat British police officer starting a new life with his family as police chief in Little Big Bear, an idyllic town near the Rocky Mountains. When his small town is overrun by migrant workers from a massive new oil refinery – the wave of drugs, prostitution and organised crime that follows them threatens to sweep away everything in its wake.Tin Star featuring Tim Roth and Genevieve O'Reilly has one or more episodes streaming with subscription on Prime Video, available for purchase on Google Play, and available for purchase on YouTube. It's a crime and drama show with 19 episodes over 2 seasons. Tin Star is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.3 (10,746 votes) and was met with mixed reviews by critics.";"2Seasons";"Prime Video"
"Transformers: Prime";2010;7;7.9;69;"Action & Adventure,Animation";"Roll out with Optimus Prime, Bumblebee, Arcee, Ratchet, Bulkhead, and the rest of the heroic Autobots as they battle the evil Decepticons. Now that big bad Megatron has returned with a mysterious and dangerous element, Team Prime must prepare for an epic battle.Transformers: Prime featuring Peter Cullen and Jeffrey Combs has one or more episodes streaming with subscription on Netflix, free on Tubi, free on VUDU, and 4 others. It's an action & adventure and animation show with 67 episodes over 4 seasons. Transformers: Prime is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.9 (5,245 votes).";"4Seasons";"Netflix"
"1983";2018;18;6.8;69;"Crime,Drama";"Twenty years after a devastating terrorist attack in 1983 that halted the course of Poland's liberation and the subsequent downfall of the Soviet Union, an idealistic law student Kajetan and a disgraced police investigator Anatol stumble upon a conspiracy that has kept the Iron Curtain standing and Poland living under a repressive police state.1983 featuring Robert Więckiewicz and Maciej Musiał has one or more episodes streaming with subscription on Netflix. It's a crime and drama show with 8 episodes over 1 season. 1983 is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 6.8 (3,510 votes) and was very well received by critics.";"1Season";"Netflix"
"Ragnarok";2020;18;7.5;69;"Drama,Fantasy";"A small Norwegian town experiencing warm winters and violent downpours seems to be headed for another Ragnarök -- unless someone intervenes in time.Ragnarok featuring Theresa Frostad Eggesbø and David Alexander Sjøholt has one or more episodes streaming with subscription on Netflix. It's an action & adventure and drama show with 6 episodes over 1 season. Ragnarok is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.5 (17,336 votes).";"1Season";"Netflix"
"WWE Raw";1993;7;7.8;69;"Drama,Sport";"WWE Raw is a professional wrestling television program that currently airs live on Monday evenings on the USA Network in the United States. The show debuted on January 11, 1993. WWE Raw moved from the USA Network to TNN in September, 2000 and then to Spike TV in August, 2003 when TNN was rebranded. On October 3, 2005 WWE Raw returned to the USA Network. Since its first episode, WWE Raw has broadcast live from 203 different arenas in 169 cities and towns in ten different nations. As of the show's 1,000th episode, airing on July 23, 2012, WWE Raw has become a three-hour broadcast from two-hours, a format that had previously been reserved for special episodes.WWE Raw featuring Vince McMahon has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with USA (Via Cable/Satellite Provider), free on USA, and 3 others. It's an action & adventure and drama show with 2,838 episodes over 62 seasons. WWE Raw is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.8 (7,962 votes).";"62 Seasons";"Hulu"
"The Circle";2020;18;7.4;69;"Reality,Game Show";"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.The Circle featuring Michelle Buteau and Sammie Cimarelli has one or more episodes streaming with subscription on Netflix. It's a game show and reality show with 12 episodes over 1 season. The Circle is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.4 (3,277 votes) and was well received by critics.";"1Season";"Netflix"
